63.01,18.05,37.33,7.89,62.87
63.03,15.56,26.35,5.62,62.96
68.94,12.71,21.22,5.33,68.90
71.04,8.81,25.86,2.59,71.02
74.06,10.77,21.67,5.93,74.09
71.97,13.52,18.96,2.85,71.98
73.76,15.74,20.22,0.78,73.75
72.12,17.48,18.47,2.79,72.11
71.56,18.60,20.71,4.42,71.57
70.33,19.59,17.60,6.06,70.31
71.31,21.09,20.44,7.00,71.31
69.27,21.65,17.56,7.80,69.24
69.81,22.69,17.17,8.18,69.80
70.24,22.60,21.18,7.16,70.27
70.49,23.40,17.48,7.22,70.43
69.99,23.10,16.65,6.63,70.00
71.56,23.62,20.34,9.99,71.54
69.46,23.21,17.75,8.39,69.44
70.46,24.05,17.50,6.45,70.48
69.89,26.17,17.88,6.22,69.81
71.91,28.14,25.12,16.24,71.92
71.45,34.20,36.90,23.08,71.44
73.34,34.78,38.34,28.75,73.36
73.51,28.96,37.70,26.06,73.52
73.35,27.95,31.73,18.34,73.34
72.63,25.13,25.28,23.68,72.62
71.22,24.24,30.67,27.57,71.18
69.54,26.96,25.68,19.65,69.52
68.37,34.53,31.41,21.71,68.26
66.87,51.52,37.30,31.95,65.73
66.50,60.82,43.58,37.12,62.90
73.60,72.08,42.55,28.94,65.01
79.41,78.87,42.12,39.16,60.18
80.71,80.42,40.39,35.59,55.48
81.59,81.38,41.18,33.34,53.91
82.06,81.91,42.54,32.45,55.63
82.18,82.09,43.73,38.50,56.84
82.86,82.74,43.40,37.36,57.28
81.15,81.32,43.67,36.89,58.31
78.90,79.09,41.04,35.96,58.37
81.77,81.70,39.38,39.13,56.61
83.48,83.42,37.58,40.98,59.59
84.02,83.63,36.07,39.64,60.82
82.83,82.60,34.30,33.91,59.14
81.51,81.32,31.78,36.60,56.60
78.94,78.54,31.83,34.23,55.28
76.96,76.36,31.15,40.85,54.27
76.19,74.89,30.92,38.32,60.39
72.37,71.57,31.18,33.08,59.35
74.85,72.43,29.48,38.83,67.72
77.45,72.20,28.49,33.24,75.93
77.53,72.93,26.34,24.07,74.71
77.04,71.82,31.79,25.29,72.91
78.24,73.92,31.88,25.36,75.15
77.77,75.10,30.58,30.02,72.13
80.76,79.17,28.84,35.30,72.92
85.93,85.04,33.24,31.91,74.58
83.13,82.78,36.90,31.52,74.15
83.92,81.83,35.95,25.07,74.78
81.47,80.86,37.24,30.53,75.69
81.33,80.91,42.38,30.50,70.05
81.54,81.73,45.18,28.80,73.97
82.33,82.56,44.39,29.22,69.82
80.37,80.42,37.46,29.97,70.62
81.06,79.78,40.34,23.17,69.54
81.79,81.88,41.89,24.37,67.07
83.48,83.00,40.95,21.06,72.69
82.66,81.92,40.81,23.41,71.20
83.47,83.18,41.04,27.48,71.72
83.18,82.52,42.01,24.44,70.77
82.02,81.31,37.73,21.47,71.63
83.17,82.46,33.11,19.22,72.57
82.49,82.10,31.83,28.05,68.83
83.77,84.00,35.58,29.64,68.51
84.36,84.31,34.14,29.44,69.66
83.72,83.89,32.63,30.47,65.01
82.56,82.03,35.73,28.99,68.61
78.97,78.01,35.10,31.76,69.01
78.15,75.03,31.93,23.63,72.45
77.55,72.61,31.07,26.61,74.99
76.86,73.89,32.59,23.53,72.90
78.18,73.28,33.32,22.12,75.23
77.62,75.99,39.28,23.49,70.79
82.34,81.32,42.42,22.26,70.35
84.25,84.36,43.04,20.71,72.10
